year,revenue,cogs,rd_expense,sales_marketing_expense,general_admin_expense,interest_expense,gross_profit,operating_expenses,operating_income,pretax_income,tax_expense,net_income
2016,12500000.0,6135090.72,1218421.86,1546450.41,970076.25,97160.21,6364909.28,3734948.52,2629960.76,2532800.55,531888.12,2000912.43
2017,13999080.24,5908430.1,1633849.09,2360295.16,908281.74,273594.8,8090650.14,4902425.99,3188224.15,2914629.35,612072.16,2302557.19
2018,16968485.19,8772553.88,1499498.79,2267701.11,1354205.19,282134.87,8195931.31,5121405.09,3074526.22,2792391.35,586402.18,2205989.17
2019,19973926.84,10051764.11,1948030.7,2500818.08,1225910.56,381351.88,9922162.73,5674759.34,4247403.39,3866051.51,811870.82,3054180.69
2020,23085572.17,10186137.3,2354306.14,4522713.9,2224821.6,425291.88,12899434.87,9101841.64,3797593.23,3372301.35,708183.28,2664118.07
2021,25046991.23,10975153.15,2689150.15,4940533.11,1762085.87,349868.89,14071838.08,9391769.13,4680068.95,4330200.06,909342.01,3420858.05
2022,27174961.65,11911884.95,3454224.53,5018448.75,2350658.41,511653.26,15263076.7,10823331.69,4439745.01,3928091.75,824899.27,3103192.48
2023,29058006.54,13088430.06,2672767.85,4195078.3,2105788.49,183861.27,15969576.48,8973634.64,6995941.84,6812080.57,1430536.92,5381543.65
2024,34828583.27,16455657.28,3860890.08,4451572.5,2814244.29,276530.0,18372925.99,11126706.87,7246219.12,6969689.12,1463634.72,5506054.4
2025,40268055.74,18651942.02,4652767.43,7036385.38,3296681.74,228658.5,21616113.72,14985834.55,6630279.17,6401620.67,1344340.34,5057280.33
